quote,entry,rating
My favourite Indian restaurant,Superb food;  place immaculate; owner & staff  extremely helpful and caring. Stars galore. Going back.,5
North London's best Indian restaurants,"The food was excellent. Excellent service—thanks, Naz. First time here, but surely not the last time I eat outMore",5
Always the best,"As usual, I can’t give any less than 5 stars and would give more if I could, lovely food but above an beyond service.",5
Excellent meal!!,Lovely authentic food and wonderful service from very charming staff. Very helpful with choices and Syaed gave that personal touch to make it special.More,5
"Excellent, authentic food.","Excellent, authentic food. We thoroughly enjoyed every moment of our meal. Syed was our server and helped us chose food that would suit our preferences and was so friendly and lovely to talk to. Thank you Bayleaf, this was our first visit and definitely won’t...More",5
Dinner for two,"We had a great time, lovely tasty well cooked and prepared meal.

Thanks Naz and the lady who I think is from IranMore",5
"Fantastic Service, Fantastic Food!","Very friendly Staff, Mitra was lovely. Food was presented very well (especially the Momo) and tasted excellent. Would definitely recommend!",5
Patrick,"Excellent food and service! All round fantastic experience, setting the bar for Indian cuisine, would recommend.",5
Bayleaf review,"The most amazing curry in London! Food is always fresh and delicious. Excellent hospitality and service.  10/10, highly recommend!More",5
Great experience,"Amazing experience, excellent food. We were served by lovely Mitra who had an extensive knowledge about the menu, polite and kind .Thank bay leaf restaurant:)",5
Amazing,The food was really amazing. The service was next level good. We’ve really enjoyed our dinner together. Especially Mitra who works there. Thanks again!More,5
Great visit,Such a great visit at this restaurant. We had a lovely meal with great service from start to finish.More,5
Amazing!,"Beautiful place,  Amazing food and very kind staff. Enjoyed every second of our evening there. Would visit again when we come back to LondonMore",5
Wonderful meal!,Amazing food and service. Great lamb chops and lovely daal. Just so nice to have a feast after Xmas. Go visit!,5
Top flavor,"My husband is from London and we are on a constant quest for great curry. Well, we have found the perfect  combination of flavor and spice in this beautiful location. Courteous staff, lovely atmosphere and some of the best Indian food you will ever have....More",5
Properly good Indian grub,"We chose this restaurant based on reviews and pictures, thinking 1k+ couldn't be wrong.  The food didn't dissapoint, it was excellent.  Very fresh. Very tasty.  And it was interesting - presented well.  A careful blend of spices.

It's not cheap - my Dad wanted ""number...More",5
Best Indian restaurant in North London,"Lovely food, the menu has a lot variety. The service was brilliant. I highly recommend for people come and eat here.More",5
Great food and service,Always enjoy our experience at Bayleaf. Great food and service. Highly recommend for a night out in Whetstone.More,5
Amazing,"Fantastic service, aesthetically pleasing. Very attentive staff. Excellent lighting in the restrooms. Will be coming backMore",5
A Beautiful Birthday,"I visited Bayleaf with my family for my birthday. The meal, service and atmosphere were perfect. They show extra care through their impeccable attention to detail. Thank you for this lovely evening.More",5
Great customer service by Mitra,"Our second visit to this restaurant, this time for my partner's birthday and we all were so impressed again by the amazing customer service, great food and very friendly and pleasant atmosphere. Will highly recommend here to Indian food lovers. Thank you Mitra and the...More",5
Amazing experience,"I don’t usually leave reviews, but the standards that I experienced was exceptional I had to leave a review. Not only was the food excellent, the service the staff provided was even better. Mitra is such a lovely host and really made the evening so...More",5
Excellent food and service,"Delicious food and excellent service!
We really enjoyed the salmon. Everything was delicious. 
We will definitely be back here soon.More",5
Amazing food and service,I went to Bayleaf to celebrate my sisters birthday and it was such an amazing experience. The food was really great as was the atmosphere. The mojitos were okay but I’m not a mojito drinker. I’mMore,5
Bay leaf,Very good food. I loved the curry a very unique flavour. I highly recommend it to all my friends!!!!More,5
Highly recommended,Totally delicious food and great service! Will definitely be coming back soon. Highly recommended!!!More,5
First visit,"Amazing food, lovely service! Would highly recommend! Staff are really friendly and polite! Mitra is lovelyMore",5
Amazing food and service,Definitely one of the best food spots in the whole of London. I would highly recommend. The table service was beyond 10/10 and the food also was 10/10.More,5
5 star service and food,To Mitra and team thank you so much for the outstanding service. The food was lovely as always but the experience made even better by the staff. Thank you we will be back.More,5
Excellent food!,"We visited Bayleaf for my in-laws’ 40th wedding anniversary celebration and my father-in-laws 65th birthday celebration, and we thoroughly enjoyed the fine dining experience! The food was delicious and the presentation and food concepts were second to none. I would highly recommend! The staff were...More",5
Love the Bayleaf,"Amazing food, excellent and attentive staff. Lovely decor. Cannot recommend this restaurant enough!! Best food around.More",5
Immersion in the community,"We were celebrating buying a new home in the area and wanted to try our new local Indian restaurant, the food was splendid but the welcome unmatched by Mitra ! We will be returning for both quality of cuisine and hospitality, she is my favourite...More",5
Fantastic!!,"Me and my friends went here for my birthday dinner. The service was amazing, the waitresses were extremely nice and very polite. They made sure everything was good with us and overall just really genuine customer service. The food was also brillant. The presentation was...More",5
My birthday dinner,Naz served me and my family on my birthday . He was soo nice friendly made me feel welcome 10 /10 Definitely recommend it .More,5
Best Indian food in london,"Food was one of the best in london. The curry portions are very generous considering it’s fine dining. Had the butter chicken and meat bhuna, both amazing with garlic naan. The butter chicken beats all of the restaurants in east london which are known for...More",5
Mrs,"It was our first visit. Wonderful service, delicious food. Would definitely recommend! Will be back soon xxMore",5
Everyone must come here!,Superb food! The food is very authentic. The staff are very attentive cannot do enough for you. I recommend everyone come here! Cannot wait to come back!More,5
AMAZINGGGG!,"As a south asian myself i was skeptical as often indian fine dining can be quite a risk as it may lack authenticity. i was wrong. this was absolutely amazing, the flavours were impeccable. the service was 10/10. i took my husband for his birthday...More",5
Deserves its 5 stars!,"Absolutely delicious meal! We heard this restaurant was good, and we were not disappointed. In fact we were very impressed. The Kale Chaat and Prawn Jhinga were to die for and all of the staff were very friendly and attentive. We will be back :-)More",5
Iranian charm and India excellence..,Best Indian meal I’ve had made all the better by Mitra and the team. Iranian charm and remarkable food. That’s a combination you can take to the bank.,5
Mitra is amazing!,"The food is amazing, best Indian food I’ve ever had! However the service from Mitra was out of this world! Excellent recommendations, kept us well fed! Would be coming back to see her again!! Thank you x",5
Kim,"I went to this restaurant last night with my friends, the best Indian food I’ve ever had. The lady (Mitra) who served us was very professional, friendly and helpful. She went above and beyond to make sure we all are happy and satisfied. Food was...More",5
Fantastic customer service and food,"Our first time at this restaurant and we absolutely loved everything. Mitra who served us was very knowledgeable, helpful and friendly. We asked for recommendations and anything she recommended was delicious particularly crispy kale and Mangalorean Korri Gassi ( chicken stew).scallops and king prawns for...More",5
Great service and even better food!,"Great service and even better food! The tandoori chicken was amazing, just fell off the bone! 1000% recommend 😊",5
Mr Chris,Fantastic food and even better service from Mitra whose service was immaculate and the conversation pleasant and enlightening.More,5
A MUST VISIT 🤩,"Wow! The best Indian food I have EVER eaten! The food, the service and the atmosphere, all 10/10. Highly recommend for the best Indian food, we will defo be returning- not only for the food and service, but also for the BEST cocktails 😍More",5
Amazing food and service,"Such a lovely night, amazing food and such a nice new menu. All staff were very friendly and welcoming. We will be back again soon!",5
"Great food, great service!",The food here is delicious. We were served by Mitra who was extremely attentive and even arranged some delectable complimentary treats when we told her we were celebrating a friend's birthday. Would highly recommend!More,5
Our evening at Bayleaf was wonderful,"The food and the staff at Bayleaf were amazing! Especially Mitra, her attendance to our evening was spectacular. Thank you guys we will be back again soonMore",5
Eating innn,Brilliant service. Well nicer staff. Take care of you. Food lovely. Well respected to us. Definitely will come back here,5
What a fantastic restaurant! Great service and delicious food.,"Having lived locally to the restaurant for four years, we finally ventured out for dinner at Bayleaf this evening and honestly we’ve been sleeping on this great restaurant. 
Fantastic service from Mitra and everyone at Bayleaf. Mitra made us feel very welcome upon arrival and...More",5
Best Indian food in Whestone.,"Went first time this week for my  birthday dinner  with my family 
Delicious food and the service was impeccable.
Atmosphere a bit quiet but  it was Wednesday evening !
Will definitely come back and recommend it .More",5
"Best food in Whetstone, easily","Regular customer of the Bayleaf takeaway for years, but the restaurant experience is on a different level! Really enjoyable atmosphere, a clean, focused menu with enough choice without it being overwhelming. 

Food is the best Indian-style cooking I’ve found outside of Central London, without any...More",5
Great!,"Great food and amazing amazing service. The staff treated us like VIPs and were so kind, attentive and helpful. Really recommend for a special evening outMore",5
Not your usual run of the mill Indian Restaurant,"Good food, good service, very nice surroundings. Small but not the normal run of the mill menu. Butter chicken is recommendedMore",4
Delicious food and cocktails,"The staff were really friendly and welcoming. We had delicious food, especially the black daal and prawn curry! Will definitely be returning!More",5
Sensational,"So at long last I finally visited  Bayleaf after seeing posts about them on TikTok and IG and I must say my visit exceeded my expectations, the food was sensational, the decor and presentation was aesthetically pleasing highly recommended and definitely will return in the...More",5
Lovely dinner,"We visited as a table of 12 for a birthday meal. The staff are very attentive and ensured that everything was catered for. As always lovely food, we would visit again.More",5
Excellent,"I had high expectations and they exceeded them! Loved the presentation, the service and the flavours where amazing. Worth the money :)More",5
The best Indian I’ve ever had,This restaurant is my go to not only because of the food but the staff are just adorable. They always remember me and even if something isn’t on the menu they’re always happy to accommodate. Plate is always empty when finished! ThankyouMore,5
Tiger,"High quality food and very friendly staff, would recommend. Atmosphere was great, will be coming back in the future",5
Best Indian food ever,"Highest quality food
Excellent price quality
Amazing variety

Super friendly service and advize

High quality hygiene 

Dare to ask the serviceMore",5
Saturday evening meal,"Exceptionally enjoyable meal, i enjoyed the butter chicken and my husband, the mixed grill.  We have been to Bayleaf before and the ambience and quality of the food remains high, we were also looked after extremely well by Mitra, so a massive thank you to...More",5
Amazing food & atmosphere,"We came to bayleaf for the first time for our anniversary meal.  Our waiter was Naz who was very polite, welcoming and friendly throughout the evening. 
We were even given a complimentary dessert for our anniversary which was so sweet. 

We ordered the momo which...More",5
Mrs,Fantastic service … thank you Mitra…and really delicious food. Loved the Chanda masala and the butter chicken. We’ll be back!,5
Incredible food and amazing staff!,"I could not recommend Bayleaf more highly, The food is absolutely phenomenal! Had the black leaf black magic, yummy! Then the lovely waitress recommended the mangalorean- love coconut and creamy food! 🤤🤤 I’ll be back for it again! 

Usually, I’m relacted  to order cocktails- so...More",5
"Wonderful food, service and environment!","A brilliant experience at an amazing restaurant. The service was spectacular from the whole staff and especially, Mitra. 

The food has a wide range of distinct flavours which sets it apart from the rest. It is definitely one of the best Indian restaurants. We will...More",5
Mitra is the best!!,Really great service and lovely night out with friends! Mitra was so lovely and made sure we were taken care of the whole night!More,5
OH MY GOD,"words cannot describe how excellent my experience at Bayleaf was tonight. the food was amazing, the staff were incredible, the whole night was just fantastic! a huge thanks to Naz, Mitra, and the rest of the Bayleaf team for making this night so special!More",5
Lovey experience and amazing food at BayLeaf,"Wonderful evening, highly recommend. The food was innovative and delicious. The atmosphere was warm and welcoming.",5
Fabulous Experience,Our first visit since moving to the area. We had a lovely meal and great experience at Bayleaf. The food was perfect and the staff were very welcoming and attentive to our needs. Don’t want to spoil it but the magic that comes with the...More,5
Birthday,One of the best Service I ever had. Mitra was awesome some. Service as well as food was awesome me. Highly recommend to anyone looking for a fine dine Indian Cuisine.,5
Family meal at local Indian restaurant,We have eaten here on numerous occasions & it’s always a fantastic dining experience . Yummy  food & great service & so lucky to be so local too . Would recommend 100% .,5
Great food and great service,"We went there as a family to celebrate a birthday, the food was great, fresh, new, tasty and had a modern twist.
We really liked the serving dishes, and also the staff were super helpful, polite and friendly.
Would definitely recommendMore",5
Birthday Dinner,"We came here for my aunts birthday. The service was great and food fantastic! 
We will definitely be returning and highly recommending the Bayleaf to friends :)More",5
Yum,Lovely food and great service! Every dish was amazing and unique. A modern twist on Indian cuisine! Will be returning soon.More,5
Exceeded all expectations,"Came here to celebrate my sisters GCSEs, loved the fried ladyfingers, cheese naan,  rajasthan birani, and the presentation of the food is fantastic. The drinks were fun, and the service was beyond reproach.
Excellent experience, dining at its finestMore",5
Amazing food and an even more amazing waitress Mitra!,"The food was absolutely scrumptious, the flavours were special and I left feeling extremely delighted.
Mitra was fantastic and went the extra mile to ensure we were fully accommodated and happy, she recommended great dishes and wine and was absolutely fabulous.
Mitra you are an...More",5
Great food as always,"Great food as always, quick and attentive service, excellent menu choices that differentiate it from the norm. Dine in clean and pleasant surroundsMore",5
Best Restaurant in North London,Easily best food and experience in north London! Other Indian / Asian cuisine in the area do not compare to their dishes. The price you pay is well worth it.,5
amazing restaurant,"food was amazing, service was amazing, mitra was so lovely. i come here every thurday night couldnt recommend more x",5
Highly recommend,"The food was 10/10, so nice to have a local good restaurant in Whetstone. 

Everything was authentic and portions were perfect. Cocktails were really good and we’re looked after so well by Mitra. We will be back again for sure.",5
Perfect,"Lovely experience, perfect for special occasions. Lovely atmosphere and staff (especially Mitra)  

Would recommend the mango kulfi!More",5
Bayleaf is good like really good,This is one of the best restraints I have been to the people are nice and well respected and the food is to die forMore,5
amazing food and service,"the service and food was so amazing always recommended bayleaf!!!
mitra was a great waitress too !!!More",5
Date night,"Absolutely amazing food, tentative and caring staff and as someone with an allergy I felt totally looked after! Well done bayleaf you have succeeded expectations!More",5
Celebration Meal!,"Very tasty food, and very friendly staff! Nice decor! Good restaurant for a celebration! Classy vibesMore",5
Dinner,Great service and brilliant food at Bayleaf restaurant. Staff are really friendly. Would highly recommend it!!,5
The best Indian around for sure!,"The best Indian restaurant I’ve ever been to. 

I take all my friends who have come from abroad and my local ones too. We all agree this is the best Indian restaurant around. 

Friendly staff, excellent food, great atmosphere.",5
Best curry in London,Amazing food - the best curry I have ever had.  Complemented with wonderful hospitality and great drinks - a truly memorable experience,5
Good dishes with interesting flavours,Dishes had some good twists to them. Second time we’ve been here and it was just as enjoyable as the first.,4
Beautiful establishment & food was 10/10,"Definitely will be repeating this visit again, such a wide variety of dishes on the menu, not your average Asian Cuisine with so much more to try. Everything was superb from service & staff to decor & food!! Well done to team Bayleaf from me...More",5
Great local Indian restaurant,"We have eaten in Bayleaf a few times now and they have never let us down
The kale starter was great and the  scallops are superbMore",5
These guys know good food!,"Great service from arrival, ordering and through the courses, delicious food with some visually stunning options if you fancy it! ideal for a special occasion.More",5
Best dinner ever 😋,"We went for the first time to Bayleaf Restaurant for my birthday, and couldn't be happier with the choice.
Food was amazing and the service was 5⭐'s ! 
 Mitra was our server and she was unbelievable.
Definitely recommend to anyone who wants to eat good...More",5
Bayleaf,"The food was really good! And there was an excellent atmosphere:))
We all really enjoyed it!
Thank you so much! It was awesome:))",5
Mrs Nicolaou,Fantastic food and excellent service would definitely come back and friendly staff with lovely ambiance,5
Richard’s Birthday,"Superb as always. Lovely food, Lovely people; can’t wait until next time…. Particularly like the Chilli Paneer, the Chicken Tikka, and the Kale ChaatMore",5
Incredible food! Amazing service!,Menu was so unique and so many lovely options. Food was presented beautifully and the staff were extremely friendly and accommodating. 10/10!More,5
Anniversary Dinner,"Had an amazing meal this evening. Service was incredible, food was great, super atmosphere, couldn’t fault the restaurant at all. Would definitely recommend!",5
Wow!,"We are regulars at Bayleaf but I have never written a review before about one of our favourite local restaurants! Every visit to this gem is always such a treat- the food, cocktails but most of all the lovely Mitra who always makes us feel...More",5
Spectacular,Mitra was a wonderful waitress and made our experience special! She was very helpful and the food was delicious.,5
Lovely dinner,"We had an absolutely lovely dinner- aromatic, delicious and lovely customer service from all the team, including Bod.More",5
A special treat guaranteed!,Thank you for making us feel special and giving us an evening to forget all stresses! We absolutely love your food and service!More,5
Fabulous dinner and service,"Fabulous dinner and fabulous food, highly recommend! Thanks you so much Mitra and Bodrul for fantastic service!",5
Superb!,Food was fantastic but the service was even better... Mitra was unbelievably one of the best waitresses I've ever experienced. Would highly recommend thank you,5
Absolutely sensational,Totally incredible experience. The name of the waitress was Mitra and she was very friendly and helpful - she even gave us a free dessert with sparkler after we informed her of my sister’s graduation today. Utterly unforgettable evening and would highly recommend!More,5
Bayleaf,"This might actually have been by far one of the best experience. Service was great, staff were attentive. The lovely mitra was our waitress and she made our experience enjoyable. Big big compliments to the chef food was exquisite",5
Out of this World!!!,The food was imaginative and truly delicious- each dish got better and better … a 7 star rating!!! The staff went over and above and really made our visit magical…More,5
Birthday Dinner,"It was our first time at Bayleaf and it was excellent from start to finish. The staff were so welcoming (especially Mitra), the espresso martinis and the food were incredible! We highly recommend coming here and we only wish we found this place sooner :)More",5
Eid Meal with my family,"Amazing food , friendly and welcoming staff and a great atmosphere. Out first visit and I absolutely loved it. Will definitely come back and recommend it to my friends and family.More",5
My favourite restaurant in North London,"I do not have a bad word to say about this place. Absolutely incredible. My third visit and even though I live an hour away it’s worth the drive. Highly recommend. The waitress Mitra makes the experience 100 times better
However all the staff are...More",5
Best fine dine !! 5/5,"Absolutely stunning interior and the food was delicious!! I’ve tried several Indian fine dines and this is by far one of the best. The atmosphere and the service (particularly from Bodrul) is a 10/10, highly recommended. Definitely coming back!More",5
A big thank you to the team,"We came for a birthday party celebration as a family and were kindly hosted by Mitra and other gentleman who I forgot the name , I am sorry ! It was an excellent time and the service was brilliant . We really had a happy...More",5
Mr,Amazing absolutely loved it with the family. Food was delicious and customer service excellent!! Will defo be back.,5
Excellent food and service,"The food at Bayleaf was it’s usual high standard. The use of spices and balance of flavours is brilliant.
Staff is always friendly and helpful. Will visit again.",5
Bay leaf Barnet restaurant,"The service from staff was amazing, the attention to detail was great and the food was lovely! 
A very lovely restaurantMore",5
An original spin on Asian cuisine,"A lovely restaurant with an original menu and experience! This restsurant has the wow factor and offers a lovely twist to Asian cuisine. A must visit! Great service, wow factor food and not overpriced.",5
Baeleaf dinner,Mitra has made sure we had a lovely night. The food was brilliant and the wine was sexy. I had the mix grills and it was like that scene in ratatouille where the food critic had the ratatouilleMore,5
Amazing service,Was seen really quickly by Mitra and she was so warm and welcoming. So many people came in while we were there and everyone was catered for so quickly. Loved the complimentary free drink at the end. Haven’t even gotten to the food. Sublime! Will...More,5
Amazing service. Above and beyond,Great evening. The service is truly remarkable. Really personable and dutiful. Above and beyond for sure. Made all the differenceMore,5
Dinner Night Out,"Had a great time at Bayleaf, not long moved to the area and as Indians it’s a great restaurant, meat quality and drinks are unreal!More",5
Amazing food and atmosphere,"Highly recommended - some of the best Indian food I’ve had! Atmosphere, presentation and staff are amazing!More",5
Excellent food and service! ,Amazing food and great service. Mitra was exceptionally friendly and efficient as front of house manager. Would 100% recommend. The dum biriyani is a must.More,5
Five stars,Best Indian restaurant in Brighton and very good service as well. Loved it! Would definitely recommend.More,5
Best service ever,"I was so surprised with this restaurant. Not only the food was great with amazing presentation but also the service was one of the best ones I’ve ever had. Mitra was so kind and made us feel so special, thank you so much for the...More",5
Overpriced,"Bayleaf is a classy looking restaurant with a high spec feel. The staff are very friendly and helpful and the food is very nice. The pricing, however, is totally unacceptable. I had tandoori prawns (3). This was 23£. No rice or naan included. The management...More",3
10/10,Our first time at Bayleaf and we didn’t leave disappointed. I assure you the food tastes as good as it looks. The staff especially Bodrul & Mitra went above & beyond. This place felt like home. Thank you for being very attentive. We’ll be coming...More,5
100%,"The food is amazing with spectacular presentation. Exceptional service from all, especially Bodrul. Bodrul went above and beyond to make sure everything was perfect. It was worth the hour and a half travel. Would definitely visit again !!More",5
Miss,"Food is fantastic here, really flavoursome and tasty! Service is friendly especially Bodrul and Mitra have been attentive and really goes out his way to make sure everything is perfect for us. Thank you",5
Amazing,Food was amazing service was excellent definitely would recommend it will be back soon thank you guysMore,5
Birthday,Food was perfect the restaurant makes you feel very welcome perfect place to hold a birthday and have a wonderful mealMore,5
Great food,"Great customer service, great food and a great way to celebrate a friends birthday. Definitely a place I’d recommendMore",5
Very delicious!,Very delicious and high quality food. The service and atmosphere was great. I would definitely come back again! :),5
Review of Bayleaf,Really good food and excellent service. The food was really flavourful and definitely will be back!!,5
Exceptional food and service,"The service and food was exceptional and top standard. Such authentic, spicy food that hits the spot. The service was perfect and the staff were very attentive.",5
Best in the UK.,"I’ve been to my fair share of Indian. This is the BEST. Excellent food & drinks. The service from staff was immaculate. I cannot explain how great. Also very accommodating to babies. If you want to have a lovely night out with the family, there...More",5
THEY PUT THE BAE IN BAE LEAF,"The food was absolutely amazing! The flavours, textures everything was on point. The service was 10/10. The staff were very friendly and attentive. Those dumplings I could eat all day everyday for the rest of mi life. Everything was *chefs kiss*More",5
Bay leaf - Service,"Great restaurant, it was my first time having Indian food and I can definitely say it won’t be my last. Great customer service, NAZ was amazing and made the visit great. He knew it was our first time so gave us excellent suggestions, which made...More",5
Bay Leaf Service,"Fantastic service from Naz today being that it was my first time trying Indian food he was very calm, collective, polite and just the service you need in trying at a restaurant you haven’t been before!
Brilliant food too, can’t wait to come here again!!More",5
"Top food, top service!",First time visited! Definitely won't be the last! ... absolute 10/10! Food was amazing! Staff were wonderful and the decor was on point!More,5
So Amazing!!,"From the restaurant decor, food and too the lovely staff I can't fault this restaurant at all. It's a place you need to visit again and again!!!",5
Birthday,The food was excellent and the service was amazing. I enjoyed the food a lot and had the best time. It was a great experience.More,5
Great experience,For a large group of people it was a very enjoyable experience. would recommend to others for special events.,4
Great service,Great service and very kind workers. The food was amazing.The people were very delightful to talk with and the service was quick.More,4
Best service for my friend’s birthday!,"The service was great, it was my friend’s birthday and we really enjoyed ourselves. They had great food and staff were extremely friendly.More",4
Great experience,I decided to go here for a birthday dinner and had a lovely experience. the staff were so welcoming and we had a great time,5
Friend’s Birthday,The service and atmosphere was amazing. The staff were friendly and were very entertaining. The food was great.More,4
Birthday get together,A great birthday get to together. Thoroughly enjoyed ourselves and the service was incredible. Highly recommend it!More,5
Best Indian food in north London,"Food was top notch. Service excellent (thanks Naz!). First time dining here, definitely will not be the last",5
AMAZING!!!,"From the start amazing service, beautiful show stopper starters and the most delicious mains. Definitely coming backMore",5
